Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,178363035,,,,178363035,,38838536,,,0
H5,2017,2017,2017,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,8079163998,,,,8079163998,,1788702358,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,14330,,,,14330,,13592,,,0
H5,2017,2017,2017,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,61260,,,,61260,,16197,,,0
H5,2017,2017,2017,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1212148,,,,1212148,,917768,,,0
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,21985914140,,,,21985914140,,4650562485,,,0
H5,2017,2017,2017,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1010731242,,,,1010731242,,197842415,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,730198350,,,,730198350,,195115879,,,0
H5,2017,2017,2017,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,131109654,,,,131109654,,31674564,,,0
H5,2017,2017,2017,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,5564,,,,5564,,39372,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,301050362,,,,301050362,,60544476,,,0
H5,2017,2017,2017,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,18645,,,,18645,,17728,,,0
H5,2017,2017,2017,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4585383776,,,,,,936288556,,,6
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,714209694,,,,714209694,,185559119,,,6
H5,2017,2017,2017,4,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,923,,,,923,,6865,,,0
H5,2017,2017,2017,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,169269890,,,,169686504,,29637061,,,0
H5,2017,2017,2017,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,418709968,,,,418709968,,79272650,,,0
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,31148181,,,,31148181,,6583190,,,0
H5,2017,2017,2017,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,6022220572,,,,,,1149305765,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,617643500,,,,617643500,,102807663,,,0
H5,2017,2017,2017,4,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,119417,,,,119417,,29755,,,6
H5,2017,2017,2017,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60521432,,,,,,15347061,,,6
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4187160519,,,,4187160519,,778846442,,,0
H5,2017,2017,2017,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,74570181,,,,74570181,,25751706,,,0
H5,2017,2017,2017,4,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,66720,,,,66720,,65950,,,0
H5,2017,2017,2017,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,140182063,,,,140182063,,19926700,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,377755,,,,377755,,180500,,,0
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,22000201,,,,22000201,,6530404,,,6
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,1,No Quantity,0,,,,,,27492131,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,20603020380,,,,20603020380,,5090816348,,,6
H5,2017,2017,2017,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1249605452,,,,1249605452,,303164246,,,0
H5,2017,2017,2017,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3005580,,,,3005580,,908977,,,0
H5,2017,2017,2017,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,1001,Wheat and meslin,1,No Quantity,0,,,,1426042113,,305990474,,,6
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,29416,,,,29416,,6052,,,6
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4296483706,,,,4296483706,,1031376394,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,9968995,,,,9968995,,4115250,,,0
H5,2017,2017,2017,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1890614630,,,,1890614630,,441796936,,,0
H5,2017,2017,2017,4,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,157672381,,,,157672381,,42585034,,,0
H5,2017,2017,2017,4,0,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,279894939,,,,279894939,,72714488,,,0
H5,2017,2017,2017,4,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,137143,,,,,,32853,,,6
H5,2017,2017,2017,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,107865565,,,,,,21999337,,,6
H5,2017,2017,2017,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,356641770,,,,,,68166145,,,6
H5,2017,2017,2017,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,119639515,,,,119639515,,28958540,,,0
